TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
0610005C13RIK	0.8	0.0	0.0	0.8	1.4	1.8
0610005I04	2.9	2.0	1.1	1.5	3.2	3.1
0610006I08RIK	175.8	205.2	251.0	361.2	345.9	326.1
0610006L08RIK	0.0	0.0	1.3	0.0	0.0	0.0
0610007C21RIK	408.1	390.8	465.7	428.3	462.1	539.2
0610007J10RIK	199.8	236.2	140.7	341.8	218.5	237.3
0610007L01RIK	187.6	125.8	62.9	173.0	55.8	71.1
0610007N19RIK	90.1	96.6	89.8	20.5	15.0	46.9
0610007P08RIK	14.6	11.9	9.6	10.8	8.8	9.1
0610007P14RIK	67.3	116.5	114.9	130.4	164.1	175.0
0610007P22RIK	64.6	52.6	72.9	69.3	53.7	55.7
0610008C08RIK	2.6	4.5	7.3	3.4	0.7	1.6
0610008F07RIK	1.7	4.0	0.4	5.7	0.0	1.6
0610009B14RIK	0.0	2.3	0.0	0.2	0.0	0.5
0610009B22RIK	11.0	10.0	12.4	18.5	46.7	29.2
0610009D07RIK	8.6	8.0	8.9	7.8	12.9	6.5
0610009J05RIK	430.5	248.6	619.4	235.5	57.8	156.4
0610009L18RIK	5.1	2.7	1.5	5.0	6.8	5.2
0610009O04RIK	6.5	5.3	5.8	8.5	6.7	7.2
0610009O20RIK	44.8	48.0	96.9	70.6	59.5	75.3
0610010D20RIK	0.3	0.6	0.2	3.5	0.0	0.0
0610010D24RIK	27.5	17.0	52.4	9.0	10.5	18.7
0610010E21RIK	425.3	264.5	171.5	178.7	100.8	287.6
0610010F05RIK	9.9	11.0	10.9	14.2	22.6	13.1
0610010I05RIK	3479.3	1664.1	2184.4	2263.6	632.6	2203.7
0610010K06RIK	146.1	128.4	175.3	98.2	162.9	158.3
0610010K14RIK	77.4	111.2	70.6	92.7	114.4	138.7
0610011B16RIK	0.0	2.3	1.5	2.0	0.7	2.2
0610011F06RIK	34.3	40.9	32.3	55.5	36.5	60.9
0610011I19RIK	36.8	27.1	33.3	16.4	21.9	16.0
0610011L14RIK	3.2	1.0	1.1	1.0	1.5	0.0
0610012A05RIK	5.5	0.0	4.4	0.6	0.0	6.1
0610012D14RIK	0.0	4.0	0.9	0.0	0.0	0.0
0610012G03RIK	399.6	248.8	290.8	320.7	410.6	444.3
0610012H03RIK	3.2	2.3	0.9	3.2	7.5	0.0
0610013E23RIK	2.3	3.1	1.3	0.0	0.0	6.1
0610025G21RIK	4.1	0.3	2.4	2.5	1.0	0.8
0610025J13RIK	0.8	0.0	1.4	0.1	2.1	0.2
0610025P10RIK	20.4	21.2	43.2	16.5	19.1	25.2
0610030E20RIK	48.4	45.1	59.0	40.4	73.7	47.2
0610030G03RIK	2.0	4.5	0.0	3.8	0.0	1.8
0610030P10RIK	2.4	1.3	0.3	0.0	0.4	8.4
0610031G08RIK	4.5	4.2	6.3	13.6	0.0	3.1
0610031J06RIK	172.2	178.8	199.9	211.9	174.7	214.8
0610033M06RIK	1.6	3.9	2.0	4.9	2.6	0.0
0610035N01RIK	5.2	3.8	7.1	3.2	2.2	0.8
0610037B23RIK	3.8	5.1	5.0	0.4	2.9	5.1
0610037D15RIK	24.7	32.4	31.9	16.8	8.0	23.5
0610037L13RIK	225.2	173.8	144.8	89.2	117.0	157.1
0610037M15RIK	104.9	488.9	242.8	273.8	21.9	131.9
0610037P05RIK	0.0	2.2	1.6	1.6	0.0	5.0
0610038B21RIK	0.0	1.1	0.8	0.0	0.0	0.0
0610038D11RIK	21.6	22.9	13.8	21.4	33.5	26.2
0610038F07RIK	71.6	104.3	136.6	125.7	105.4	167.8
0610038F15RIK	0.6	0.0	0.0	0.9	0.8	3.6
0610039K10RIK	0.0	2.4	0.4	0.6	0.1	1.3
0610040B10RIK	22.8	20.3	11.1	4.2	8.1	11.8
0610040J01RIK	0.0	3.8	9.3	0.4	10.5	3.4
0610040O15RIK	16715.4	15553.2	16058.0	15715.8	14094.2	16715.4
0610041E09RIK	0.0	0.0	0.0	2.2	0.0	0.0
0610042C05RIK	29.4	0.0	59.3	28.4	29.4	52.8
0710001C05RIK	4.9	2.0	3.0	8.2	5.5	0.0
0710001D07RIK	55.5	76.6	39.4	47.8	94.4	71.6
0710007C18RIK	3.9	5.2	9.2	6.4	2.4	5.3
0710007G10RIK	19.9	35.3	43.5	38.0	47.6	49.9
0710007J16RIK	3.3	3.5	0.1	3.4	2.0	3.9
0910001A06RIK	38.8	38.5	50.3	17.4	44.7	37.5
0910001L09RIK	720.0	857.4	1020.7	1010.3	3733.6	1415.6
0910001L17RIK	0.0	0.0	0.0	0.0	0.0	0.0
100041294	1373.0	1205.7	877.9	1085.0	1000.1	1287.5
1010001D01RIK	4.5	4.0	3.6	3.4	2.8	5.5
1010001I08RIK	0.0	0.0	1.8	0.0	0.0	2.7
1010001N08RIK	6.0	2.7	10.6	1.4	5.5	9.3
10181072_290	4.1	3.1	4.2	4.3	4.4	0.0
1100001E04RIK	0.3	0.0	1.1	0.0	0.0	0.0
1100001F19RIK	581.0	373.7	148.3	344.8	178.8	246.2
1100001G20RIK	43.5	56.4	33.2	122.2	370.0	102.0
1100001H23RIK	1.1	1.0	2.5	3.7	6.0	1.3
1100001I19RIK	0.0	0.0	0.0	0.0	0.2	0.0
1100001J08RIK	4.7	7.9	2.3	6.3	19.7	3.2
1100001L02RIK	2.1	0.0	3.3	0.0	4.0	3.3
1110001A07RIK	5.1	7.8	5.6	29.7	53.3	16.5
1110001C20RIK	57.3	37.9	28.2	35.8	45.6	37.8
1110001C23RIK	195.9	225.0	286.7	160.2	340.1	294.2
1110001D15RIK	4.0	1.9	1.9	1.6	0.0	0.5
1110001J03RIK	217.7	272.7	254.1	298.8	371.6	338.6
1110001N06RIK	121.7	143.6	159.4	244.2	188.1	258.6
1110001P04RIK	442.2	480.9	481.6	289.9	219.3	412.8
1110002B05RIK	218.5	230.9	195.9	192.5	451.8	323.0
1110002D22RIK	490.6	505.9	537.2	764.7	554.3	614.3
1110002E22RIK	0.0	1.7	0.0	0.0	0.0	0.0
1110002E23RIK	377.4	419.3	267.9	353.0	387.0	421.6
1110002H13RIK	0.0	0.2	0.0	0.0	0.0	0.0
1110002L01RIK	0.0	0.9	0.0	1.1	2.0	2.6
1110002N22RIK	29.3	31.0	24.4	41.6	39.4	49.4
1110003E01RIK	1452.9	1558.3	1580.2	745.4	1344.6	1811.3
1110003E08RIK	20.5	6.2	5.7	5.1	10.5	10.4
1110003F05RIK	20.6	21.6	15.4	10.2	27.5	5.6
1110003O08RIK	74.2	70.9	124.0	92.8	126.3	129.1
1110003P22RIK	68.3	96.2	94.7	120.5	273.9	140.9
1110004E09RIK	1.3	1.6	7.0	0.0	0.0	3.3
1110004F10RIK	1.1	3.2	0.0	0.0	0.0	0.0
1110004P21RIK	67.5	42.4	39.9	32.3	25.0	31.6
1110005A03RIK	0.0	0.1	1.2	0.0	0.1	0.9
1110005A23RIK	15.7	30.3	18.6	28.1	22.1	23.7
1110005F07RIK	15.9	19.5	21.0	543.0	647.1	601.0
1110006E14RIK	1.0	0.0	0.6	7.9	2.3	3.6
1110006G06RIK	41.3	38.9	37.8	24.4	38.5	35.9
1110006G14RIK	0.0	0.0	0.0	6.0	0.0	0.6
1110006O17RIK	2.2	0.0	0.0	0.0	0.8	0.0
1110007A13RIK	115.3	126.8	240.2	145.5	229.7	182.8
1110007B02RIK	2.4	0.0	1.8	0.1	0.0	1.5
1110007C09RIK	2.0	2.6	0.6	4.4	2.7	3.9
1110007F05RIK	4.4	0.5	1.4	0.6	0.0	0.0
1110007H17RIK	2.5	0.0	0.8	0.0	0.9	0.0
1110007L15RIK	260.7	218.1	252.9	315.3	276.1	210.6
1110007M04RIK	788.4	617.8	520.4	619.4	217.9	465.9
1110008B24RIK	576.2	541.9	460.4	550.4	448.0	543.5
1110008F13RIK	311.1	274.2	156.2	302.4	490.9	338.5
1110008J03RIK	8.0	5.5	3.5	3.3	6.8	4.5
1110008L16RIK	26.3	32.2	41.3	40.2	39.2	33.4
1110008P14RIK	301.7	275.5	222.4	397.0	346.4	362.0
1110011C06RIK	85.2	137.5	161.2	98.3	166.8	180.1
1110012D08RIK	78.4	90.7	77.0	26.5	48.9	60.0
1110012F10RIK	34.1	49.7	87.4	44.6	64.6	56.8
1110012J17RIK	0.0	0.8	0.0	0.0	0.0	1.5
1110012L19RIK	36.9	32.7	17.0	27.0	35.1	30.4
1110012N22RIK	6.0	6.2	11.1	14.6	10.3	19.7
1110012O05RIK	976.8	1023.5	901.0	673.6	800.8	1059.3
1110013L07RIK	26.2	25.5	23.0	17.4	11.9	17.4
1110014C03RIK	0.0	0.0	0.0	0.0	1.0	0.0
1110014J17RIK	125.3	134.9	172.7	246.9	210.9	168.3
1110014N23RIK	87.7	93.5	105.3	75.7	102.2	81.1
1110014O20RIK	130.2	198.7	185.3	457.6	374.1	195.9
1110015C02RIK	1.8	0.0	2.2	0.0	0.8	0.0
1110015M06RIK	0.0	0.5	0.0	0.0	0.3	1.4
1110017D15RIK	20.5	28.7	12.4	3.6	9.6	0.0
1110017F19RIK	7.5	14.4	11.2	31.8	56.0	5.1
1110017I16RIK	0.0	0.0	0.0	0.0	5.3	1.8
1110018G07RIK	326.2	420.0	576.8	548.7	458.9	443.1
1110018H23RIK	0.0	0.0	0.0	0.0	0.5	0.0
1110018J18RIK	34.2	36.2	23.1	16.8	20.9	22.6
1110018J23RIK	0.0	0.0	0.0	0.0	2.3	2.7
1110018M03RIK	0.0	0.0	2.4	0.0	0.0	0.0
1110018N20RIK	0.0	2.5	3.6	2.0	0.9	0.0
1110019B22RIK	0.0	1.9	0.0	8.1	1.1	2.0
1110019K23RIK	4.1	4.3	3.1	5.1	1.9	1.4
1110019N10RIK	119.3	80.1	71.6	105.7	70.7	101.5
1110020A21RIK	0.0	0.0	0.8	0.0	0.0	0.0
1110020C03RIK	0.2	1.0	0.0	0.2	0.0	0.0
1110020C17RIK	3.0	0.0	5.1	3.9	2.1	0.9
1110020G09RIK	4.9	4.3	1.2	2.2	0.0	1.0
1110020N13RIK	6.4	1.0	7.1	4.4	3.0	2.5
1110020P15RIK	2352.7	2023.3	2204.6	2016.7	2890.8	2488.4
1110021J02RIK	53.9	79.0	65.9	149.7	202.3	127.8
1110021L09RIK	0.0	2.0	0.0	0.9	0.9	2.0
1110021P09RIK	1.7	0.0	0.0	0.0	0.0	1.1
1110025H03RIK	0.0	1.8	3.4	1.0	0.9	0.0
1110025L11RIK	0.2	0.2	0.0	0.0	0.0	0.0
1110027O12RIK	4.2	0.0	2.4	1.8	2.7	2.0
1110028A07RIK	0.1	0.0	0.0	0.0	0.0	0.3
1110028C15RIK	2.6	0.0	0.0	1.8	0.0	0.0
1110028F11RIK	0.9	0.6	0.4	6.5	4.3	0.1
1110029I05RIK	23.3	66.1	43.3	91.8	53.1	30.5
1110029L17RIK	274.9	257.3	140.3	151.0	94.2	71.6
1110031B06RIK	12.0	12.2	9.5	17.4	7.1	13.7
1110031B11RIK	0.0	0.0	0.8	0.0	0.0	0.1
1110031I01RIK	12.8	10.1	16.1	10.6	9.6	6.4
1110031I02RIK	26.0	38.9	31.2	57.5	21.7	29.5
1110032A03RIK	5.2	0.9	0.0	0.0	0.0	1.0
1110032A04RIK	0.0	0.6	0.0	0.0	1.7	0.0
1110032A13RIK	255.4	237.5	267.4	272.6	584.8	278.0
1110032D16RIK	0.0	0.0	0.0	0.0	0.0	1.7
1110032E23RIK	1.5	0.0	1.9	2.5	9.9	4.3
1110032F04RIK	1.2	0.0	0.0	0.0	0.4	0.0
1110033C18RIK	14.9	8.9	14.7	3.0	6.8	9.3
1110033F04RIK	0.0	0.5	0.0	0.0	0.0	0.3
1110033K02RIK	15.8	19.8	37.2	22.8	25.4	25.1
1110033L15RIK	0.0	0.9	0.0	1.3	1.7	1.5
1110033M05RIK	40.9	47.8	34.3	38.2	45.5	48.1
1110033O09RIK	1.3	3.9	3.8	0.0	0.1	0.5
1110034A24RIK	10.6	12.6	11.1	22.3	24.4	15.8
1110034B05RIK	0.0	0.0	0.0	1.2	0.0	0.3
1110034G24RIK	14.0	13.5	13.0	5.0	13.0	17.9
1110034O24RIK	164.5	174.0	363.9	363.3	298.4	246.6
1110035H17RIK	20.9	23.1	18.6	5.2	15.0	32.0
1110036D12RIK	0.0	2.1	2.2	3.2	0.6	1.5
1110036O03RIK	0.0	0.0	0.6	1.4	0.0	0.0
1110037F02RIK	85.4	64.3	71.0	40.3	62.7	51.6
1110037J23RIK	0.0	0.0	2.0	3.9	0.0	1.9
1110037P13RIK	11.7	11.4	4.7	8.1	6.9	3.2
1110038B12RIK	142.0	128.9	78.7	226.8	151.2	242.0
1110038D17RIK	292.3	272.5	314.8	210.0	192.9	228.9
1110038F14RIK	98.0	89.6	91.4	68.2	73.0	88.1
1110038G02RIK	31.6	31.2	13.6	32.9	30.9	28.5
1110039B18RIK	25.4	30.3	41.1	83.3	39.0	55.9
1110046J11RIK	255.2	308.0	575.5	186.9	369.6	518.9
1110048D14RIK	0.3	0.0	3.5	0.0	4.1	4.5
1110049B09RIK	1.8	1.1	0.2	0.0	1.5	3.0
1110049F12RIK	151.2	127.0	104.2	167.5	159.1	154.6
1110049L02RIK	0.0	0.9	0.8	0.0	0.0	1.1
1110049N09RIK	4.0	6.0	4.8	7.0	4.6	4.4
1110050B14RIK	8.1	6.1	5.9	1.6	8.0	7.2
1110051M20RIK	0.0	0.0	0.0	0.0	0.0	0.0
1110051N18RIK	4.8	2.3	0.7	2.7	3.9	1.7
1110054B14RIK	8.8	10.4	7.7	7.4	8.8	4.7
1110054H05RIK	4.6	6.2	8.6	9.5	6.0	6.0
1110054O05RIK	9.1	6.8	6.0	8.6	11.8	11.9
1110054P19RIK	1.2	0.2	0.0	0.2	0.0	0.0
1110055N21RIK	111.9	80.0	105.4	152.8	135.1	119.9
1110057K04RIK	64.9	96.5	82.8	113.8	97.1	108.6
1110057P08RIK	0.0	0.0	0.0	0.0	0.0	0.1
1110058L19RIK	204.1	274.4	184.5	302.9	206.7	308.7
1110059E24RIK	120.9	113.5	335.2	107.3	101.6	236.3
1110059G02RIK	27.6	41.4	33.0	19.9	79.3	31.8
1110059G10RIK	31.2	25.1	79.9	16.0	4.9	28.4
1110059H15RIK	0.0	0.0	0.0	3.6	0.0	0.0
1110059M19RIK	1.7	0.0	2.5	1.5	0.0	2.3
1110059P08RIK	11.2	16.0	16.2	11.7	15.5	22.2
1110062G22RIK	4.1	3.8	8.9	0.0	0.6	5.3
1110062M06RIK	10.7	22.3	5.5	33.8	173.6	27.1
1110064P04RIK	1.2	1.6	1.3	2.9	0.0	0.0
1110065P20RIK	24.3	17.2	19.9	12.5	14.9	14.1
1110067B18RIK	132.1	81.1	120.6	75.0	50.4	59.6
1110067D22RIK	9.7	5.2	1.5	7.7	6.1	2.8
1110068E08RIK	51.9	65.5	74.5	118.7	80.6	143.2
1110069O07RIK	1.8	1.9	0.0	0.0	0.0	0.6
1110070O15RIK	26.3	10.4	7.1	11.7	9.2	7.3
1190002A17RIK	14.3	12.9	10.9	8.2	36.6	20.0
1190002A23RIK	0.0	0.0	0.0	3.0	2.3	0.0
1190002F15RIK	27.1	85.6	42.2	116.7	230.6	73.6
1190002H23RIK	2836.5	2704.4	925.0	1261.2	382.2	528.0
1190002N15RIK	17.5	16.4	9.5	22.2	25.4	14.9
1190003J15RIK	3.6	5.5	6.1	7.9	4.3	5.3
1190003K10RIK	2.6	0.6	3.0	0.0	2.5	3.3
1190003M12RIK	4.0	3.8	3.6	6.5	2.8	1.1
1190004M23RIK	4.2	0.0	4.6	0.0	2.6	0.0
1190005F20RIK	27.4	48.7	88.2	81.2	83.8	149.6
1190005I06RIK	1.4	0.0	0.1	1.4	0.0	0.0
1190005N23RIK	33.9	35.4	30.1	23.0	29.2	33.0
1190007F08RIK	10.0	60.9	13.0	307.8	41.3	20.1
1190007I07RIK	0.3	2.4	3.4	28.4	4.5	52.0
1190008K20RIK	20.4	32.2	30.9	23.3	14.3	11.0
1190009E20RIK	10.0	28.8	44.3	136.8	183.6	49.1
1190012C08RIK	142.6	144.0	172.5	88.7	40.0	29.7
1190017O12RIK	274.6	344.3	330.8	411.8	482.4	516.6
1190020E20RIK	0.0	0.0	0.0	0.0	2.8	0.0
1190020J12RIK	8.0	6.2	15.0	2.8	11.4	10.8
1190028D05RIK	2.4	3.8	0.0	1.6	1.4	3.6
1190028F09	7.4	10.0	9.4	31.6	43.5	35.3
1200002N14RIK	28.7	56.8	24.7	54.5	438.5	56.7
1200003C05RIK	116.5	163.8	174.7	147.8	176.9	163.9
1200003E11RIK	2.9	2.3	2.3	4.5	5.6	0.6
1200003I07RIK	87.3	78.7	41.7	12.4	12.0	20.9
1200003N10RIK	1.7	1.1	3.7	0.0	3.0	0.0
1200007C13RIK	3.2	1.8	1.3	2.8	3.1	1.5
1200008A14RIK	3.2	4.6	5.9	5.0	5.8	4.3
1200008N06RIK	3.8	0.8	3.5	2.5	2.3	0.6
1200009F10RIK	0.0	0.0	0.0	0.0	0.2	0.0
1200009I06RIK	2.2	0.0	0.0	0.8	2.7	0.0
1200009O22RIK	0.7	0.4	0.0	0.0	3.3	1.1
1200011A11RIK	0.4	1.7	2.8	1.1	2.3	0.0
1200011I18RIK	3.8	2.5	2.3	3.4	2.8	6.1
1200011M11RIK	2.9	2.6	0.0	0.0	2.8	0.0
1200011O22RIK	87.0	106.0	67.3	195.7	237.1	109.3
1200012P04RIK	4.3	0.0	4.1	0.4	1.2	0.0
1200013B08RIK	128.2	173.2	315.1	106.3	1109.3	453.8
1200013F24RIK	1.5	1.9	2.2	0.0	1.4	0.0
1200014J11RIK	74.9	111.1	137.5	145.5	199.8	228.8
1200014M14RIK	0.0	0.0	0.0	0.0	0.0	0.0
1200014P05RIK	3.4	0.0	1.8	0.1	0.9	2.8
1200015F23RIK	28.4	21.2	15.4	26.3	16.6	34.9
1200015N20RIK	0.0	0.3	2.1	0.0	0.4	0.0
1200015P04RIK	6.0	6.3	8.6	6.3	1.7	4.5
1200016B10RIK	117.0	102.6	212.6	89.2	77.4	103.1
1200016C12RIK	2.4	0.0	0.0	0.0	2.0	0.0
1200016D23RIK	21.9	24.6	16.6	10.6	11.1	16.1
1200016E24RIK	210.8	123.0	60.2	89.5	55.0	44.4
1200016G03RIK	0.7	4.7	1.6	3.5	12.1	8.0
1200016L19RIK	0.0	0.0	0.1	2.9	3.6	0.0
1200017F15RIK	0.0	2.2	0.6	0.0	0.0	0.0
1300001I01RIK	39.6	33.2	36.9	29.5	46.4	37.9
1300002E11RIK	0.6	4.5	4.6	1.3	1.0	0.9
1300002K09RIK	0.0	0.0	1.0	1.0	3.0	0.4
1300003B13RIK	0.0	0.0	0.0	0.0	0.8	0.0
1300003O07RIK	3.6	1.0	3.0	1.0	2.7	3.7
1300006C19RIK	228.4	150.7	30.3	42.6	29.5	37.5
1300007F04RIK	0.0	0.0	1.0	1.6	5.9	1.1
1300007L22RIK	2.0	0.0	0.0	7.2	1.8	0.4
1300010F03RIK	13.3	11.2	15.6	12.3	15.5	7.9
1300010M03RIK	0.0	0.2	0.8	1.7	0.0	0.0
1300011L04RIK	1.9	0.1	4.2	1.4	0.7	6.4
1300012G16RIK	0.0	1.7	0.0	1.5	0.0	0.0
1300013B24RIK	17.4	25.3	35.7	9.9	3.2	10.5
1300013D05RIK	11.4	2.1	28.1	5.9	0.2	4.9
1300013F15RIK	0.0	0.0	0.0	0.0	1.7	0.0
1300013J15RIK	0.0	0.0	0.0	0.5	0.0	0.1
1300014I06RIK	132.7	64.3	79.8	17.5	8.2	133.4
1300015D01RIK	4.8	3.4	3.4	4.6	4.5	2.6
1300017J02RIK	11.3	95.2	61.8	373.2	57.8	24.0
1300018I05RIK	951.0	1114.3	1552.7	900.1	1088.6	1021.3
1300018I17RIK	8.2	11.9	16.6	6.8	25.1	10.0
1300018J18RIK	48.7	48.7	67.2	41.1	95.0	60.3
1500001A10RIK	0.0	0.0	0.0	0.0	2.3	0.0
1500001E21RIK	644.2	302.0	887.3	111.2	187.4	437.2
1500001L15RIK	1173.3	961.0	1095.2	930.7	825.1	936.6
1500001M20RIK	82.0	99.2	109.0	161.0	139.1	118.4
1500002C15RIK	5.5	1.8	0.1	0.0	1.9	1.2
1500002K03RIK	0.4	0.3	6.2	2.5	3.6	2.3
1500002O10RIK	4.8	1.6	2.3	0.0	1.1	2.1
1500002O20RIK	5.4	8.1	8.0	4.9	10.1	7.9
1500003O03RIK	39.2	19.2	6.5	23.2	27.0	12.3
1500003O22RIK	8.2	0.0	7.0	7.5	11.8	12.3
1500004F05RIK	93.6	49.2	24.2	38.8	19.9	31.2
1500005C15RIK	3.8	4.6	0.6	0.0	0.6	0.2
1500005I02RIK	1.6	0.4	3.7	2.9	1.8	6.4
1500005K14RIK	50.9	55.5	39.1	26.2	162.7	47.2
1500005N04RIK	53.0	45.0	35.5	19.7	17.4	20.1
1500009K05RIK	0.0	3.2	0.2	4.2	0.2	2.6
1500009L16RIK	8.8	0.0	2.9	1.1	4.8	4.9
1500010C09RIK	2.1	0.0	0.0	0.0	0.0	0.0
1500010G04RIK	43.8	28.1	82.4	32.5	23.8	33.6
1500010J02RIK	99.7	110.9	134.9	120.0	195.9	116.1
1500011B03RIK	21.5	21.3	37.3	24.2	45.5	56.9
1500011H22RIK	34.1	35.9	28.9	58.3	59.0	51.8
1500011J06RIK	0.0	0.0	0.0	1.9	0.0	0.7
1500011K16RIK	119.9	113.1	113.0	114.0	98.3	159.9
1500012F01RIK	1470.5	1175.6	1080.6	664.8	799.9	1326.7
1500012K07RIK	0.5	0.0	0.0	0.0	0.0	0.0
1500012M23RIK	4.7	4.3	3.7	3.9	4.5	2.1
1500015A07RIK	0.7	3.7	4.8	1.6	5.1	1.7
1500015G18RIK	6.3	3.2	5.3	11.8	4.1	5.2
1500015L24RIK	0.0	1.2	0.0	0.0	0.0	0.0
1500015O10RIK	0.0	0.0	1.4	1.9	4.1	0.0
1500016O10RIK	0.0	1.1	0.0	1.0	0.0	0.7
1500017E21RIK	0.2	0.0	0.0	0.0	0.0	0.0
1500017I17RIK	0.0	0.0	0.0	0.0	0.0	0.0
1500019C06RIK	4.8	7.0	2.9	2.6	1.9	2.7
1500019G21RIK	78.7	79.9	28.4	45.0	40.7	45.8
1500026H17RIK	4.0	1.4	3.1	7.9	0.0	2.8
1500031H01RIK	5.1	3.9	4.9	10.3	3.5	5.1
1500031K13RIK	1.3	2.9	5.9	0.0	0.4	0.8
1500031L02RIK	48.1	126.4	96.7	164.8	473.1	156.4
1500032D16RIK	494.9	535.4	497.1	633.5	695.2	558.2
1500032L24RIK	412.8	429.2	352.1	458.1	931.5	585.7
1500032P08RIK	4.7	5.9	0.4	0.0	0.0	1.2
1500034J01RIK	455.2	353.0	297.7	284.4	270.2	255.5
1500034J20RIK	1.1	2.8	7.4	2.5	2.3	4.8
1500035H01RIK	1.3	1.5	1.1	1.8	0.2	2.9
1500035N22RIK	2.1	0.0	2.3	0.3	0.0	0.0
1500041B16RIK	3.0	3.7	7.0	0.0	2.1	0.9
1500041J02RIK	58.6	32.1	57.7	12.4	15.2	11.8
1500041N16RIK	13.9	12.3	19.0	13.8	14.6	14.5
1520401A03RIK	1.4	0.0	0.8	0.0	1.4	1.7
1520402A15RIK	0.0	1.6	0.5	4.5	1.6	3.7
1520402A20RIK	53.7	35.9	35.3	15.0	13.7	21.2
1600002D24RIK	0.0	1.0	0.0	1.6	0.0	0.0
1600002H07RIK	0.0	0.0	1.6	5.8	0.0	0.2
1600002K03RIK	122.1	129.4	173.3	122.4	108.4	181.3
1600010O03RIK	1.6	1.3	0.9	0.0	0.0	0.0
1600012F09RIK	0.0	3.8	0.0	0.0	0.0	1.4
1600012H06RIK	11.7	9.8	10.5	11.9	33.7	13.7
1600012K10RIK	0.0	0.0	0.4	2.3	0.0	0.0
1600012P17RIK	0.0	2.3	2.1	0.6	0.5	0.0
1600013E24RIK	0.3	0.4	0.0	2.4	1.0	0.1
1600014C10RIK	0.7	0.9	5.4	0.2	40.8	12.8
1600014C23RIK	0.0	0.0	0.0	0.0	0.0	2.7
1600014E20RIK	0.0	0.0	0.0	0.0	0.0	0.0
1600014K23RIK	2.7	8.5	3.5	5.2	5.2	0.0
1600015I10RIK	0.0	0.4	0.0	0.0	0.0	0.0
1600016N20RIK	66.9	36.0	104.0	21.4	8.6	50.8
1600017E01RIK	11.7	11.5	24.1	2.6	8.3	12.2
1600019C01RIK	1.3	0.0	2.5	0.0	0.0	0.0
1600020E01RIK	0.0	0.6	1.0	0.0	0.2	0.0
1600021P15RIK	0.5	0.0	0.0	2.0	0.0	0.0
1600023H17RIK	41.5	27.9	10.1	17.4	12.6	25.4
1600023N17RIK	4.9	0.0	0.0	0.0	2.0	0.2
1600025M17RIK	1.2	0.0	0.0	0.0	0.0	0.3
1600027N09RIK	3.9	2.4	2.8	6.2	3.8	4.4
1600029D21RIK	1.4	0.0	2.3	0.0	0.0	0.0
1600029I14RIK	0.0	1.5	0.0	6.7	3.5	2.8
1600029O10RIK	11.5	4.9	19.1	1.3	8.2	11.9
1600032L17RIK	1.1	3.4	2.2	1.3	0.0	1.9
1620402D19RIK	1.6	3.3	5.0	1.0	0.0	4.1
1700001C02RIK	0.0	0.0	1.5	0.7	0.2	0.0
1700001C07RIK	3.1	2.5	1.5	0.5	3.4	2.6
1700001C14RIK	2.0	0.0	0.0	0.0	0.0	0.0
1700001C19RIK	0.0	0.0	0.0	3.9	0.3	0.0
1700001E04RIK	0.0	0.0	0.6	0.0	2.8	0.0
1700001E18RIK	2.8	1.5	0.0	0.0	0.4	0.0
1700001G17RIK	0.0	3.6	0.0	0.0	2.4	7.1
1700001J03RIK	0.0	0.3	0.6	1.1	0.0	0.8
1700001J11RIK	2.0	0.0	0.0	5.2	0.0	3.7
1700001K23RIK	0.1	0.0	0.0	0.0	0.0	0.0
1700001L05RIK	3.3	5.4	5.4	10.1	5.1	4.5
1700001L19RIK	0.0	0.2	6.4	7.4	2.1	2.3
1700001O11RIK	0.0	2.9	0.1	1.0	1.2	0.8
1700001O22RIK	0.4	0.6	0.4	0.3	1.1	0.8
1700001P01RIK	8.0	3.9	2.8	1.8	1.2	1.0
1700003B17RIK	3.7	6.9	5.0	1.8	4.8	0.0
1700003E16RIK	0.0	0.2	1.1	0.4	0.0	0.0
1700003F12RIK	5.5	1.7	4.9	4.5	3.4	4.0
1700003H04RIK	8.4	0.0	3.3	0.2	2.1	2.3
1700003M02RIK	0.0	0.0	0.0	0.0	0.5	0.0
1700003N22RIK	2.5	0.0	2.1	0.0	0.0	0.0
1700006A11RIK	1.2	0.0	2.6	4.3	0.0	2.0
1700006E09RIK	2.5	0.0	0.4	2.9	0.0	0.0
1700006H02RIK	0.7	0.0	0.0	0.0	0.9	0.0
1700006H03RIK	0.0	0.6	0.0	0.0	0.0	0.0
1700006J14RIK	3.4	4.8	2.4	8.9	5.0	6.8
1700007B13RIK	0.0	0.3	2.9	3.9	2.8	0.0
1700007B14RIK	1.8	3.9	4.0	8.2	0.5	0.3
1700007E06RIK	0.0	1.6	0.0	4.1	0.0	0.9
1700007G11RIK	0.0	0.0	0.0	0.0	0.0	0.0
1700007K09RIK	1.5	0.4	0.0	1.5	0.5	0.0
1700007K13RIK	0.0	0.0	0.0	3.4	0.0	1.0
1700007N01RIK	0.3	0.7	1.1	3.2	0.0	3.8
1700007N14RIK	1.1	0.2	0.8	0.0	0.8	0.0
1700007P14RIK	18.7	9.8	16.0	7.9	16.8	15.9
1700008E09RIK	0.0	0.0	0.0	0.0	0.4	0.0
